date,site,asset,component,LM_handleNegCoreTempDegC_min,LM_handleNegCoreTempDegC_avg,LM_handleNegCoreTempDegC_max,LM_handlePosCoreTempDegC_min,LM_handlePosCoreTempDegC_avg,LM_handlePosCoreTempDegC_max,LM_pcbaTempDegC_min,LM_pcbaTempDegC_avg,LM_pcbaTempDegC_max,LM_powerLimit_avg,LM_powerLimit_max,unused_duration,estimated_utilization
2022-03-13,-2073653851,-2126066089,70335316,17.38599360923154,37.536910805504334,48.8142666571661,17.406787197487677,37.10485336644229,48.14993276369879,23.711205295524813,38.46766297129217,42.98870120283471,85.698715705736,234.0630471487837,73596,0.1481888310185185
2022-03-14,-2073653851,-2126066089,70335316,33.807235567321456,44.20147138313529,63.3166889430425,34.36758875185918,44.247727821988896,61.76215530093382,33.377665389629875,42.74334896997068,51.74554572300868,111.62687332214459,273.868587548028,80927,0.063343125
2022-03-15,-2073653851,-2126066089,70335316,42.56670541455707,52.97362921713031,66.48588873900653,42.52402627245976,52.96353279137897,69.23288481220571,51.074160599241786,54.843724206629325,56.46551447189063,107.46421769038719,313.22734582434634,81365,0.05827494212962963
2022-03-16,-2073653851,-2126066089,70335316,28.80391431031613,45.65560237609772,53.79489618344616,28.62509355889648,45.20553292510747,52.28075293765221,36.62894093879746,43.69132263243258,50.47025675844313,105.79342128256116,265.98918156624615,82144,0.04925755787037037
2022-03-17,-2073653851,-2126066089,70335316,36.13249281664911,45.636878298006486,57.2012571628865,36.16119273876719,46.824408449057266,63.29839604687277,42.685291442681006,46.054923713866465,50.03725927695664,72.11767883762181,151.12190574629506,79882,0.07543725694444445
2022-03-18,-2073653851,-2126066089,70335316,41.49021871572423,59.969341804148364,67.20052821886459,41.64034434376615,58.580584270860065,66.26814531962651,52.10123848129318,56.63119249061206,58.2144225099974,151.16711444509178,276.3152036928082,84146,0.02608758101851852
2022-03-19,-2073653851,-2126066089,70335316,38.62258541511838,57.72082773168577,78.29576578837087,38.4395492552671,56.91343333230043,72.18767127091355,44.23282089427939,55.75763374764006,62.380555239834244,100.82615697126741,306.866245804355,76535,0.11417471064814814
2022-03-12,-2073653851,-2126066089,1261478727,22.80231397501572,36.79316123660207,54.47993981371633,22.44150477276678,37.14139709615893,59.065692123962805,31.355372510879302,36.5984736215661,45.791349253601844,105.91882211351076,290.2885556997276,67275,0.22134686342592594
2022-03-13,-2073653851,-2126066089,1261478727,16.55763002036666,37.286128336540614,72.60577958275334,16.617432162412953,38.24821954328553,78.79064467957464,24.163611103999315,36.842674129054274,46.65159454833469,99.03495862635597,313.66940456843264,54984,0.36360903935185185
2022-03-14,-2073653851,-2126066089,1261478727,29.532884078492096,43.49150049827485,61.46657206103553,29.792536419586213,43.81863524858635,64.60598530683485,36.625712554872464,41.89977741021678,50.7432415059607,98.08502089356797,299.20427784413323,76514,0.11441780092592592
2022-03-15,-2073653851,-2126066089,1261478727,35.55406804603503,54.86592187041319,78.28473427856555,36.76615785356405,56.90033602602899,79.38307607700654,35.2600839218006,53.73563125494148,57.90092494731533,108.10952008895934,299.83774221207875,79330,0.0818268287037037
2022-03-16,-2073653851,-2126066089,1261478727,28.56056406857485,55.010263864112034,72.19404209935333,28.677380216476884,56.01463124071656,75.34445487378028,36.56493984572376,50.33439650468121,60.06957929593031,125.28527243077494,289.3428840992182,80413,0.06929328703703704
2022-03-17,-2073653851,-2126066089,1261478727,34.12684862145339,48.54590639328214,58.987947107592106,34.26882418110407,48.9175209333483,61.55532191819518,42.59794530227671,46.146106142126065,50.16052396895386,115.2178602195146,298.46745688265787,79463,0.08028587962962963
2022-03-18,-2073653851,-2126066089,1261478727,35.48884054163122,54.133589173220905,80.59531815941995,35.38841399225798,54.71804005726219,86.78098604463383,43.64632792238385,54.959818773584765,60.68055009330229,97.20358875650324,309.87273502016,69368,0.19712664351851852
2022-03-19,-2073653851,-2126066089,1261478727,37.67169730105819,56.66926765717155,88.09019549730104,37.12490152264669,57.48363893625034,97.16452153932364,44.271337720274026,55.881332595126544,65.11499492318195,109.50876959966484,359.0813064443849,59798,0.3078909722222222
2022-03-12,-2073653851,-2114409912,-1747047773,22.956629494736116,34.871060270067154,50.804790186828,22.723924530401472,35.20386190643548,53.17601431201916,30.07029500118436,33.12901799323834,37.90449423687963,112.90102479724331,304.67341715066016,81484,0.05689556712962963
